Event ID,Disease,lat,lon,Locality,Country,Region,Location,observation date,report date,Date,Animal Type,Animal Species,Species,Diagnosis Status,Humans Affected,Human Deaths,Diagnosis Source,cluster
390093,African swine fever,52.262691,16.772018,142716 G?RKA,Poland,Europe,"142716 G?RKA, Poland, Europe",2024-10-28,2024-11-08,2024-10-28,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390092,African swine fever,52.282481,16.796218,142718 TRZEBAW,Poland,Europe,"142718 TRZEBAW, Poland, Europe",2024-10-28,2024-11-08,2024-10-28,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390091,African swine fever,52.290754,16.78064,142720 ROSN?WKO,Poland,Europe,"142720 ROSN?WKO, Poland, Europe",2024-10-28,2024-11-08,2024-10-28,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390090,African swine fever,52.265668,16.802429,142722 JEZIORY,Poland,Europe,"142722 JEZIORY, Poland, Europe",2024-10-28,2024-11-08,2024-10-28,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
390089,African swine fever,52.289207,16.828191,142723 PUSZCZYKOWO,Poland,Europe,"142723 PUSZCZYKOWO, Poland, Europe",2024-10-28,2024-11-08,2024-10-28,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391152,African swine fever,52.300278,16.989717,143409POZNA,Poland,Europe,"143409POZNA, Poland, Europe",2024-10-29,2024-11-20,2024-10-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391146,African swine fever,52.251553,16.813045,143415LUDWIKOWO,Poland,Europe,"143415LUDWIKOWO, Poland, Europe",2024-10-29,2024-11-20,2024-10-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391141,African swine fever,52.252538,16.764077,143420G?RKA,Poland,Europe,"143420G?RKA, Poland, Europe",2024-10-29,2024-11-20,2024-10-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391140,African swine fever,52.250925,16.784803,143421G?RKA,Poland,Europe,"143421G?RKA, Poland, Europe",2024-10-29,2024-11-20,2024-10-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391139,African swine fever,52.253121,16.777853,143422G?RKA,Poland,Europe,"143422G?RKA, Poland, Europe",2024-10-29,2024-11-20,2024-10-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391138,African swine fever,52.263656,16.774301,143423G?RKA,Poland,Europe,"143423G?RKA, Poland, Europe",2024-10-29,2024-11-20,2024-10-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391137,African swine fever,52.262974,16.778236,143424G?RKA,Poland,Europe,"143424G?RKA, Poland, Europe",2024-10-29,2024-11-20,2024-10-29,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391147,African swine fever,52.244764,16.817644,143414LUDWIKOWO,Poland,Europe,"143414LUDWIKOWO, Poland, Europe",2024-10-30,2024-11-20,2024-10-30,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391148,African swine fever,52.325726,16.819748,143413KOMORNIKI,Poland,Europe,"143413KOMORNIKI, Poland, Europe",2024-10-31,2024-11-20,2024-10-31,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391145,African swine fever,52.304471,16.950583,143416DASZEWICE,Poland,Europe,"143416DASZEWICE, Poland, Europe",2024-11-01,2024-11-20,2024-11-01,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391151,African swine fever,52.325041,16.633753,143410LIS?WKI,Poland,Europe,"143410LIS?WKI, Poland, Europe",2024-11-02,2024-11-20,2024-11-02,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391144,African swine fever,52.288449,16.838983,143417PUSZCZYKOWO,Poland,Europe,"143417PUSZCZYKOWO, Poland, Europe",2024-11-02,2024-11-20,2024-11-02,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391143,African swine fever,52.31494,16.84381,143418WIRY,Poland,Europe,"143418WIRY, Poland, Europe",2024-11-03,2024-11-20,2024-11-03,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391142,African swine fever,52.301075,16.827888,143419WIRY,Poland,Europe,"143419WIRY, Poland, Europe",2024-11-03,2024-11-20,2024-11-03,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391150,African swine fever,52.279958,16.877815,143411PUSZCZYKOWO,Poland,Europe,"143411PUSZCZYKOWO, Poland, Europe",2024-11-04,2024-11-20,2024-11-04,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391149,African swine fever,52.300418,16.990556,143412POZNA,Poland,Europe,"143412POZNA, Poland, Europe",2024-11-04,2024-11-20,2024-11-04,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391136,African swine fever,52.280219,16.787902,143425TRZEBAW,Poland,Europe,"143425TRZEBAW, Poland, Europe",2024-11-05,2024-11-20,2024-11-05,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
391124,African swine fever,52.368423,17.055678,143563POZNA,Poland,Europe,"143563POZNA, Poland, Europe",2024-11-06,2024-11-20,2024-11-06,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392277,African swine fever,52.27171,16.77512,144639 TRZEBAW,Poland,Europe,"144639 TRZEBAW, Poland, Europe",2024-11-08,2024-12-06,2024-11-08,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392280,African swine fever,52.278668,16.876948,144636PUSZCZYKOWO,Poland,Europe,"144636PUSZCZYKOWO, Poland, Europe",2024-11-11,2024-12-06,2024-11-11,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392279,African swine fever,52.299248,16.826706,144637 WIRY,Poland,Europe,"144637 WIRY, Poland, Europe",2024-11-11,2024-12-06,2024-11-11,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392278,African swine fever,52.311868,16.791575,144638 SZRENIAWA,Poland,Europe,"144638 SZRENIAWA, Poland, Europe",2024-11-11,2024-12-06,2024-11-11,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392275,African swine fever,52.24263,16.803399,144641 KROSINIKO,Poland,Europe,"144641 KROSINIKO, Poland, Europe",2024-11-12,2024-12-06,2024-11-12,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392274,African swine fever,52.264858,16.941492,144642 ROGALIN,Poland,Europe,"144642 ROGALIN, Poland, Europe",2024-11-12,2024-12-06,2024-11-12,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392273,African swine fever,52.270198,16.933053,144643 ROGALIN,Poland,Europe,"144643 ROGALIN, Poland, Europe",2024-11-12,2024-12-06,2024-11-12,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392276,African swine fever,52.287344,16.81687,144640 PUSZCZYKOWO,Poland,Europe,"144640 PUSZCZYKOWO, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392272,African swine fever,52.252302,16.838823,144645 MOSINA,Poland,Europe,"144645 MOSINA, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392271,African swine fever,52.304082,16.878327,144646   CZYCA,Poland,Europe,"144646   CZYCA, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392270,African swine fever,52.290066,16.819593,144647 PUSZCZYKOWO,Poland,Europe,"144647 PUSZCZYKOWO, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392269,African swine fever,52.287677,16.815517,144648 PUSZCZYKOWO,Poland,Europe,"144648 PUSZCZYKOWO, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392268,African swine fever,52.284834,16.818406,144649 PUSZCZYKOWO,Poland,Europe,"144649 PUSZCZYKOWO, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392262,African swine fever,52.239476,16.80924,144655 KROSINIKO,Poland,Europe,"144655 KROSINIKO, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392261,African swine fever,52.268555,16.794949,144656 JEZIORY,Poland,Europe,"144656 JEZIORY, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
